client_id,label,usia,gender,jumlah_tanggungan,pendidikan,status_nikah,penghasilan_tahunan,tipe_kartu_kredit,lama_nasabah,jumlah_produk,bulan_nonactive,jumlah_kontak,total_limit_kredit,total_limit_kredit_dipakai,sisa_limit_kredit,rasio_transaksi_Q4_Q1 ,total_transaksi,jumlah_transaksi,rasio_jumlah_transaksi_Q4_Q1,rasio_pemakaian
712634133,0,54,F,2,Graduate,Married,Less than $40K,Blue,45,5,2,4,2683.0,1671,1012.0,0.784,1406,37,0.423,0.623
711694083,0,59,F,0,Post-Graduate,Single,Less than $40K,Blue,48,4,2,2,3030.0,1251,1779.0,0.694,4724,71,0.775,0.413
806428908,0,60,F,1,Graduate,Single,Unknown,Blue,55,3,3,3,13397.0,0,13397.0,0.814,5049,75,0.63,0.0
720371733,0,58,F,0,Graduate,Married,Less than $40K,Blue,47,5,3,2,2232.0,786,1446.0,0.435,1395,39,0.345,0.352
716077458,0,46,M,3,Uneducated,Married,$40K - $60K,Blue,36,4,2,4,4707.0,1121,3586.0,0.604,3188,71,0.651,0.238
719845908,0,52,F,3,Uneducated,Single,Less than $40K,Blue,36,2,1,3,3240.0,0,3240.0,0.812,4803,83,0.804,0.0
708219858,0,39,M,2,Graduate,Single,$40K - $60K,Blue,26,6,3,2,6423.0,0,6423.0,1.051,4295,70,0.795,0.0
712420833,0,49,F,5,College,Single,Unknown,Blue,41,6,3,2,16031.0,2245,13786.0,0.635,1527,57,0.462,0.14
714593883,0,53,F,2,Graduate,Married,Less than $40K,Silver,45,1,2,1,12100.0,1350,10750.0,0.854,13138,115,0.667,0.112
780078333,0,56,M,2,Unknown,Married,$60K - $80K,Blue,41,3,2,2,5887.0,659,5228.0,0.65,1193,26,0.3,0.112
716353083,0,39,M,3,Graduate,Single,$60K - $80K,Blue,29,4,2,3,6733.0,1028,5705.0,0.553,4444,72,0.565,0.153
708337683,0,51,M,2,Uneducated,Single,$60K - $80K,Blue,40,4,2,2,21800.0,893,20907.0,0.445,3820,62,0.676,0.041
719098308,1,56,F,2,High School,Single,Less than $40K,Blue,42,5,4,2,2423.0,268,2155.0,0.804,2516,59,0.639,0.111
718890933,1,45,F,4,Doctorate,Married,Less than $40K,Blue,27,3,2,2,1438.3,0,1438.3,0.68,2429,38,0.652,0.0
770878458,0,27,F,1,Post-Graduate,Married,Less than $40K,Blue,13,3,2,2,1438.3,990,448.3,0.715,3855,73,1.147,0.688
780203883,0,43,F,3,Doctorate,Divorced,Unknown,Blue,33,6,3,2,5738.0,0,5738.0,0.852,4375,73,0.622,0.0
716745408,0,54,M,1,High School,Single,$80K - $120K,Blue,36,1,2,3,12813.0,1998,10815.0,0.837,7803,81,0.688,0.156
770724558,1,42,M,2,College,Married,$60K - $80K,Blue,28,6,1,3,7340.0,0,7340.0,0.65,838,24,0.412,0.0
779269158,1,43,F,2,Graduate,Married,Unknown,Blue,25,4,2,4,21961.0,0,21961.0,0.653,2237,39,0.393,0.0
718888308,0,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475,33,0.833,0.073
714350658,0,32,M,1,Graduate,Single,Unknown,Blue,26,6,3,4,18889.0,1880,17009.0,0.702,2979,55,0.774,0.1
710748483,0,56,F,1,High School,Single,Less than $40K,Blue,43,3,2,2,2923.0,1934,989.0,0.577,3861,68,0.7,0.662
772339383,0,54,M,3,Post-Graduate,Single,$40K - $60K,Blue,44,2,5,3,4216.0,1290,2926.0,0.86,13787,121,0.571,0.306
712973733,0,58,M,4,Graduate,Married,$60K - $80K,Blue,36,3,2,2,14607.0,1480,13127.0,0.346,1393,38,0.462,0.101
754851783,0,39,M,4,High School,Married,$60K - $80K,Blue,32,4,2,2,19198.0,2218,16980.0,0.802,4423,90,0.667,0.116
715312158,0,41,F,2,Graduate,Single,Less than $40K,Blue,29,4,2,3,2670.0,2079,591.0,0.649,3895,59,0.788,0.779
714690633,0,51,F,3,Graduate,Single,Less than $40K,Blue,36,1,3,1,3276.0,1474,1802.0,0.759,14212,116,0.681,0.45
717740658,0,55,F,2,College,Married,Less than $40K,Blue,45,5,2,4,1850.0,942,908.0,0.757,4134,78,0.625,0.509
717666783,1,56,F,3,College,Single,Less than $40K,Blue,46,1,3,3,2272.0,1350,922.0,0.762,2354,49,0.96,0.594
787514433,0,34,F,3,College,Married,Less than $40K,Blue,23,3,3,3,2164.0,1176,988.0,0.835,5075,71,0.868,0.543
779995833,0,49,M,0,Unknown,Married,$60K - $80K,Blue,39,6,2,4,10177.0,1748,8429.0,0.622,3557,64,0.939,0.172
717742908,0,44,M,3,Unknown,Married,$40K - $60K,Blue,36,1,1,1,12967.0,2517,10450.0,0.787,4520,74,0.762,0.194
718227033,0,38,F,4,Graduate,Married,Less than $40K,Blue,30,3,1,2,5951.0,1702,4249.0,1.264,2565,53,0.71,0.286
714647808,0,49,F,0,Graduate,Single,Less than $40K,Blue,39,4,3,0,2434.0,0,2434.0,0.788,4628,73,0.622,0.0
718474683,0,36,M,0,High School,Married,$120K +,Blue,24,3,3,2,10097.0,2139,7958.0,1.408,3092,67,0.763,0.212
709246683,0,62,M,1,Unknown,Single,Unknown,Blue,36,5,1,1,18457.0,2248,16209.0,0.578,3603,69,0.643,0.122
715394883,0,35,F,2,High School,Married,Unknown,Blue,36,3,2,4,4319.0,1151,3168.0,0.594,1852,47,0.424,0.266
772629333,0,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347
721063533,0,51,M,2,Graduate,Single,$40K - $60K,Blue,41,1,3,3,3062.0,2058,1004.0,0.622,7289,75,0.705,0.672
793543758,0,47,M,2,Graduate,Single,$120K +,Blue,41,3,2,4,10614.0,784,9830.0,0.73,4601,77,0.638,0.074
708997833,0,49,F,4,Doctorate,Single,$40K - $60K,Blue,39,5,3,1,3255.0,603,2652.0,0.617,4045,62,0.824,0.185
718349058,0,49,M,3,High School,Married,$80K - $120K,Blue,39,3,3,2,29659.0,1143,28516.0,0.512,1193,21,0.615,0.039
717849708,0,46,M,4,Unknown,Divorced,$60K - $80K,Blue,32,5,3,3,1438.3,738,700.3,0.709,4368,87,0.74,0.513
721426383,1,36,F,3,Unknown,Single,Less than $40K,Blue,36,4,3,0,1558.0,261,1297.0,0.775,2424,40,0.6,0.168
713217858,0,38,F,2,Uneducated,Single,Less than $40K,Blue,32,5,3,3,2264.0,0,2264.0,0.479,1204,28,0.333,0.0
711634008,0,42,F,3,Uneducated,Married,Less than $40K,Blue,36,6,2,2,5821.0,0,5821.0,0.859,4591,70,1.188,0.0
718194858,0,48,F,5,Graduate,Single,Unknown,Blue,35,5,2,3,1942.0,1488,454.0,0.816,4940,88,0.796,0.766
780025908,0,40,F,2,Post-Graduate,Married,Less than $40K,Silver,30,4,2,2,10836.0,1932,8904.0,0.563,1293,31,0.824,0.178
713571258,0,45,M,2,Unknown,Single,$60K - $80K,Silver,26,6,3,2,32349.0,1630,30719.0,0.646,1343,41,0.519,0.05
779885358,0,51,M,0,College,Married,$120K +,Silver,35,5,1,2,34516.0,2332,32184.0,0.8,4587,82,0.745,0.068
711963183,0,50,M,3,Uneducated,Married,Less than $40K,Blue,36,2,3,3,5128.0,0,5128.0,0.704,7588,98,0.581,0.0
771776808,1,44,M,4,Uneducated,Married,$40K - $60K,Blue,33,5,4,3,1527.0,0,1527.0,0.531,1877,38,0.462,0.0
719451483,0,46,F,4,Post-Graduate,Married,Less than $40K,Blue,37,5,3,2,3773.0,1972,1801.0,0.783,1528,25,1.083,0.523
789235383,0,38,M,4,College,Married,$80K - $120K,Blue,27,5,2,4,10386.0,1909,8477.0,1.43,2119,52,1.08,0.184
819160158,0,42,M,3,Uneducated,Married,$40K - $60K,Blue,37,2,3,3,4960.0,1724,3236.0,0.879,8218,88,0.913,0.348
779656908,0,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,2,6990.0,1378,5612.0,0.73,1479,29,0.611,0.197
708745983,0,37,F,2,Unknown,Married,$40K - $60K,Blue,36,4,2,2,2208.0,1559,649.0,0.51,4686,81,0.761,0.706
712991808,0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69
715318008,0,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544
711357858,1,47,F,3,Graduate,Single,Less than $40K,Blue,36,5,3,4,7246.0,0,7246.0,0.612,777,13,0.625,0.0
778242708,0,63,M,1,Unknown,Single,$60K - $80K,Silver,53,5,4,4,25502.0,1450,24052.0,0.797,4323,81,0.688,0.057
755437533,0,48,F,4,Graduate,Single,Less than $40K,Blue,41,3,3,2,1522.0,1273,249.0,0.735,5005,77,0.674,0.836
796170933,0,57,M,2,Uneducated,Single,$80K - $120K,Blue,51,6,2,4,30622.0,0,30622.0,1.329,3600,66,0.784,0.0
827442858,0,56,M,3,High School,Divorced,$80K - $120K,Blue,52,2,3,1,8111.0,2051,6060.0,0.999,3719,69,0.643,0.253
787523283,0,38,M,1,Graduate,Single,$80K - $120K,Blue,27,6,2,5,26372.0,1365,25007.0,1.394,2291,56,1.0,0.052
771816408,0,44,F,4,Uneducated,Married,Less than $40K,Blue,33,5,4,2,9671.0,704,8967.0,0.699,2955,66,0.941,0.073
772794108,0,46,F,3,Doctorate,Single,Less than $40K,Blue,36,5,1,4,2201.0,651,1550.0,0.825,3165,65,0.585,0.296
716853258,0,64,M,1,Graduate,Single,Less than $40K,Blue,45,5,3,2,4417.0,0,4417.0,0.904,4253,72,0.895,0.0
789701658,0,26,M,0,College,Single,$40K - $60K,Blue,13,5,2,2,2047.0,1196,851.0,0.623,2180,33,0.941,0.584
712452033,0,26,M,1,Unknown,Single,Less than $40K,Blue,13,6,2,3,2479.0,828,1651.0,0.44,2225,44,0.294,0.334
778745058,0,50,M,3,High School,Single,$80K - $120K,Silver,41,2,2,1,34516.0,0,34516.0,0.627,15059,118,0.735,0.0
711156858,1,48,F,5,High School,Single,Less than $40K,Blue,40,1,4,3,8297.0,2517,5780.0,0.899,9819,74,0.682,0.303
808964433,0,46,F,4,Doctorate,Divorced,Less than $40K,Blue,41,4,1,1,8693.0,1378,7315.0,0.799,1594,45,0.452,0.159
714757083,1,44,M,4,Uneducated,Married,$60K - $80K,Silver,37,1,2,2,29076.0,0,29076.0,0.77,8765,84,1.211,0.0
778399008,0,50,M,0,High School,Married,$80K - $120K,Blue,30,3,4,2,4252.0,0,4252.0,0.478,1598,45,0.324,0.0
758382183,0,50,F,3,Graduate,Unknown,Less than $40K,Blue,43,2,3,3,4249.0,789,3460.0,0.925,8186,93,0.722,0.186
721122258,0,38,F,3,Uneducated,Married,$40K - $60K,Blue,36,5,5,3,5293.0,1030,4263.0,0.863,4377,62,0.879,0.195
827108583,0,55,M,3,High School,Single,$120K +,Blue,51,3,1,3,34516.0,1266,33250.0,0.846,1161,26,0.368,0.037
794784633,0,61,F,0,Uneducated,Single,$40K - $60K,Blue,55,6,1,2,2214.0,2123,91.0,0.64,4478,77,0.791,0.959
710592933,0,44,F,2,Graduate,Married,Less than $40K,Blue,30,3,2,3,9598.0,1092,8506.0,0.6,2216,54,0.588,0.114
780008358,1,59,M,0,Uneducated,Unknown,$60K - $80K,Blue,48,2,6,2,13172.0,0,13172.0,0.876,2598,47,0.621,0.0
715623483,0,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198
711210633,0,51,M,3,Uneducated,Single,$60K - $80K,Blue,42,2,4,1,1922.0,1124,798.0,0.766,8049,76,0.434,0.585
783070833,0,34,F,4,Graduate,Single,$40K - $60K,Blue,28,5,2,3,2472.0,1899,573.0,0.77,4408,86,0.792,0.768
713977308,0,62,M,1,Graduate,Single,$120K +,Blue,53,4,3,4,34516.0,2061,32455.0,0.564,3820,76,0.767,0.06
720621408,0,38,F,2,Uneducated,Married,Less than $40K,Blue,36,2,3,2,7825.0,0,7825.0,0.724,14326,100,0.786,0.0
778239933,0,45,F,4,Graduate,Married,Unknown,Blue,35,6,3,0,2801.0,2043,758.0,0.583,1241,46,0.643,0.729
712271958,0,37,M,3,Uneducated,Unknown,$80K - $120K,Blue,36,4,2,3,9782.0,1793,7989.0,0.886,3672,75,0.923,0.183
720260433,0,46,F,3,High School,Married,$40K - $60K,Blue,34,2,3,2,3336.0,1687,1649.0,0.645,5577,95,0.759,0.506
770753733,0,42,F,5,College,Single,Less than $40K,Blue,28,4,3,2,3044.0,1865,1179.0,0.852,4854,85,1.024,0.613
778623858,0,58,M,0,Uneducated,Married,$80K - $120K,Blue,38,6,3,3,3785.0,1935,1850.0,1.558,1824,49,1.45,0.511
713401758,0,45,M,2,Uneducated,Married,$120K +,Blue,36,6,2,3,3383.0,1458,1925.0,0.678,4897,75,0.562,0.431
789050883,0,33,F,2,Doctorate,Single,Unknown,Blue,21,4,3,4,5297.0,0,5297.0,0.779,2655,62,0.55,0.0
771190083,0,36,F,3,Post-Graduate,Single,Less than $40K,Blue,23,6,2,1,2410.0,1705,705.0,0.798,2505,69,0.568,0.707
781089708,0,30,M,0,Graduate,Divorced,$80K - $120K,Blue,23,6,1,2,26783.0,1285,25498.0,0.59,2495,46,0.769,0.048
817142433,0,35,M,3,Graduate,Married,$80K - $120K,Blue,20,5,3,4,8082.0,2307,5775.0,0.637,1725,29,1.071,0.285
712018233,0,42,F,3,Graduate,Single,Unknown,Blue,34,3,3,3,16612.0,2517,14095.0,0.602,4697,94,0.808,0.152
708784083,0,47,F,3,Uneducated,Single,Less than $40K,Blue,36,5,2,1,2723.0,1588,1135.0,0.852,4307,83,0.844,0.583
766322883,0,33,F,3,College,Single,$40K - $60K,Blue,26,6,3,5,6316.0,1344,4972.0,0.823,2401,71,0.732,0.213
712216533,0,44,M,5,Unknown,Single,$80K - $120K,Blue,34,6,2,3,8206.0,763,7443.0,0.87,1715,43,0.72,0.093
811762383,0,42,F,2,Graduate,Married,Less than $40K,Blue,37,4,2,1,2250.0,1788,462.0,0.523,4908,71,1.152,0.795
718011783,0,55,M,3,Graduate,Married,$40K - $60K,Blue,36,3,3,3,2205.0,1337,868.0,0.65,1591,38,0.727,0.606
714032883,0,45,M,2,College,Unknown,$40K - $60K,Blue,36,1,1,1,4718.0,1591,3127.0,0.927,4598,80,1.0,0.337
788846508,0,48,F,4,Uneducated,Married,$40K - $60K,Blue,32,6,1,3,2690.0,1903,787.0,0.824,4567,81,0.8,0.707
715496058,1,41,F,4,Uneducated,Single,Less than $40K,Gold,36,3,3,3,15987.0,0,15987.0,0.598,7832,73,0.78,0.0
709531908,0,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0
773356008,0,57,M,2,Post-Graduate,Divorced,$60K - $80K,Blue,51,2,3,3,5479.0,1200,4279.0,0.798,7960,86,0.458,0.219
778176108,0,61,M,0,High School,Single,$60K - $80K,Blue,51,4,2,2,5504.0,1412,4092.0,0.722,1290,38,0.462,0.257
709460883,1,38,F,2,Doctorate,Married,Less than $40K,Blue,28,5,2,4,1614.0,0,1614.0,0.609,2437,46,0.438,0.0
779765058,0,43,M,2,Unknown,Single,$40K - $60K,Blue,31,6,1,1,9662.0,817,8845.0,0.679,3817,70,0.489,0.085
769709058,0,60,M,1,Uneducated,Single,$60K - $80K,Blue,54,1,2,1,3618.0,972,2646.0,0.578,4228,63,0.465,0.269
812973708,0,42,M,3,High School,Unknown,$40K - $60K,Blue,37,6,2,4,2793.0,1661,1132.0,1.117,3247,69,0.865,0.595
713281833,1,37,M,3,Unknown,Single,$40K - $60K,Blue,29,6,2,3,13589.0,2517,11072.0,0.941,9456,79,1.026,0.185
790048158,0,46,F,4,College,Married,Less than $40K,Blue,38,3,3,3,8881.0,1865,7016.0,1.279,2632,54,1.077,0.21
817240833,0,51,F,2,Graduate,Single,Less than $40K,Blue,36,4,3,1,4970.0,1591,3379.0,0.738,5023,78,0.733,0.32
797757333,0,43,M,3,Post-Graduate,Married,$60K - $80K,Gold,37,6,1,2,34516.0,1580,32936.0,0.707,4149,86,0.755,0.046
717773433,0,57,F,0,Graduate,Married,Less than $40K,Blue,45,6,1,2,2448.0,0,2448.0,0.606,5464,98,0.607,0.0
789238683,0,53,M,2,Uneducated,Divorced,$120K +,Blue,42,4,2,2,22664.0,0,22664.0,0.749,4586,89,0.745,0.0
710074458,0,41,F,5,High School,Divorced,Less than $40K,Blue,34,3,1,3,2137.0,996,1141.0,0.625,4290,90,0.875,0.466
718005108,0,44,F,5,College,Married,Less than $40K,Blue,34,4,1,2,2096.0,1711,385.0,0.746,3692,68,0.744,0.816
815826708,0,53,F,2,Unknown,Married,$40K - $60K,Blue,48,2,3,3,4442.0,1107,3335.0,0.822,14437,109,0.912,0.249
719195733,0,47,M,3,College,Married,$60K - $80K,Blue,36,5,1,3,4284.0,1900,2384.0,0.971,4948,85,0.848,0.444
771666783,0,43,F,5,College,Married,$40K - $60K,Blue,31,5,1,1,5302.0,1136,4166.0,0.817,4883,68,0.581,0.214
717628608,0,37,M,3,Unknown,Married,$60K - $80K,Blue,29,5,1,5,2576.0,1640,936.0,1.128,2568,34,0.889,0.637
713015433,0,50,F,4,Unknown,Married,Less than $40K,Blue,36,2,4,3,2407.0,1102,1305.0,0.736,4543,71,0.775,0.458
710120358,0,40,M,3,Unknown,Married,$60K - $80K,Blue,27,6,2,4,9026.0,2312,6714.0,0.561,2229,37,0.762,0.256
721532583,1,45,M,4,Graduate,Married,$80K - $120K,Blue,36,5,3,4,12250.0,2165,10085.0,0.641,1995,39,0.696,0.177
720777558,0,46,F,4,Graduate,Single,Less than $40K,Blue,38,6,2,2,2671.0,1713,958.0,0.732,4519,79,0.795,0.641
719829633,0,42,F,2,Unknown,Married,Less than $40K,Blue,29,5,3,4,3200.0,1733,1467.0,0.909,5026,79,0.837,0.542
718548558,0,53,F,3,Unknown,Single,Less than $40K,Blue,42,1,1,3,2915.0,2041,874.0,0.927,4272,70,0.75,0.7
712071708,0,63,F,0,Graduate,Married,Less than $40K,Blue,36,6,3,4,2107.0,1351,756.0,0.521,1320,35,0.522,0.641
771497283,0,40,F,2,High School,Divorced,Less than $40K,Blue,28,4,6,3,2917.0,1310,1607.0,0.757,4736,79,0.795,0.449
721460283,1,49,F,3,Post-Graduate,Single,Less than $40K,Blue,35,5,1,2,2214.0,915,1299.0,0.533,2144,51,0.545,0.413
711129483,0,45,M,3,Graduate,Married,$60K - $80K,Blue,36,3,1,3,14593.0,1504,13089.0,0.668,3447,72,0.895,0.103
767564358,0,47,F,5,Doctorate,Married,$40K - $60K,Blue,40,6,1,1,4748.0,1008,3740.0,0.484,3197,70,0.707,0.212
715029333,0,52,F,2,Unknown,Divorced,Less than $40K,Blue,36,4,2,3,2111.0,0,2111.0,0.831,4459,72,0.756,0.0
714968208,0,52,M,2,High School,Married,$80K - $120K,Blue,36,2,3,1,18046.0,0,18046.0,0.819,13758,104,0.677,0.0
708300483,1,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077
717179508,0,33,F,0,Graduate,Single,Less than $40K,Blue,26,6,1,3,2382.0,1565,817.0,0.73,4011,68,0.838,0.657
716609433,1,55,M,2,High School,Divorced,$120K +,Blue,46,5,3,2,16828.0,2517,14311.0,1.059,4939,63,0.465,0.15
721092783,0,46,M,3,Graduate,Married,$80K - $120K,Blue,36,6,3,1,19838.0,1290,18548.0,0.59,3982,68,0.581,0.065
823539558,0,39,F,3,Uneducated,Single,Unknown,Silver,35,2,2,3,33565.0,1627,31938.0,0.66,8360,94,0.843,0.048
826130133,0,58,M,2,Graduate,Married,$120K +,Blue,54,6,2,4,31680.0,1812,29868.0,0.483,1121,25,0.562,0.057
787480158,0,57,F,2,Unknown,Married,Less than $40K,Blue,45,4,2,0,2494.0,1639,855.0,0.858,1555,39,0.625,0.657
714987633,0,42,M,3,Graduate,Married,$60K - $80K,Blue,36,2,2,3,4953.0,2039,2914.0,0.68,4026,53,0.828,0.412
